2008	64.2	38.5	58.8	22.6	20.9	58.6	60.3	107.3	33.8	52	34.8	40.1
2009	31.6	28.5	37.2	5.6	75.2	97.1	91.2	50.5	19.5	72.2	56.3	35.4
2010	23.7	28.9	30.2	34	135.5	79.8	87.3	125.2	50.6	24.6	61.2	48
2011	26.3	50.3	16.7	28.5	57.3	47.1	154.3	113.2	38	22.4	20.6	35.1
2012	49.9	31.2	24.9	51.7	33.5	84.9	115.4	81.7	47.1	74.6	43.2	34.7
2013	34.9	42	25.2	44.6	79.5	82.2	93.9	49.4	153.6	31.5	34.8	30.1
2014	58.8	19.8	36.4	15.8	66.1	128.9	87	37.4	20.4	17.3	20.8	45.5
2015	60.3	9.2	47.9	48.5	49.8	11.9	81.9	33.6	118.2	11.7	71.2	49.1
2016	26.6	58.9	35.4	39.3	41.1	63.1	79.5	77.6	35.1	95.3	68.2	45.7
2017	21.6	35.9	78	75.5	25	111.5	128.5	48.5	88.1	124.5	55.5	63.6
2018	43.4	12.3	15.1	50.6	17.7	42.9	99.6	87.9	13	55	29.7	57
2019	42.5	21.2	45.9	5.8	51.2	44	55.8	85.7	55.1	39.1	12.2	28.5
2020	40.6	36.9	25.6	5.6	80.4	161.5	25.2	74.6	12.4	72.1	35.6	41.6
2021	58.7	9.3	27.3	36.8	98.1	53.1	129.7	145.4	64.4	21.1	48	28.1
2022	56.5	61.1	2.6	35.9	86.7	110.8	114.6	51.7	29.1	14.7	21.2	47.7
2023	56.3	36.7	40.4	34.6	22.2	56.1	21.9	88.8	7.4	98.3	45.8	54.9
