2008	62.9	27.2	52.6	44	58.7	34.7	97.5	78.4	43.7	33.3	30.5	38.3
2009	31.2	28.7	57.4	3.7	83.5	148.4	93.3	78.4	24.9	62.4	44.2	47.3
2010	33	28.7	29.6	32.7	109.8	108.7	123.8	126.4	115.4	25.3	81.4	36.4
2011	28.5	43.2	18.6	56.8	65.5	64.2	184	41.3	21.5	23.1	9	30.7
2012	50.8	21.9	19.1	39.9	51.6	79.1	88.5	111.1	24.1	50.9	45.9	28.1
2013	40.7	30.1	23.4	50.8	103.7	62.9	89.6	64.5	167.2	11.2	34.1	25.4
2014	43.7	23.8	31.1	21.2	66	82.4	69.1	59.6	20.7	3.6	25.8	53.3
2015	44.6	3.1	40.6	28.9	102.9	25.8	62.8	5.2	33.6	36	81.2	60.9
2016	27.4	56.1	57.7	37.3	46.7	44.4	186.6	68.6	21.5	135.9	54.6	53.2
2017	13	45.3	50.7	78	101.1	116.1	82.8	108.2	123.4	112.8	47.9	55.3
2018	27.4	14.9	22.9	41	31.2	22.4	144.8	25.9	65.9	40.4	21.3	78.1
2019	54.5	11	45.4	4.1	100.4	50.3	113.5	100.7	54	23	19.5	41.2
2020	32	49.5	32.5	5.1	72	138.6	43.2	97.5	24.5	84.9	20.6	39.5
2021	70.3	19.1	16.9	24.6	80.7	49.3	118.1	142.6	81.8	10.4	39.2	30.5
2022	53.6	43.4	2.1	56.7	56.5	61.5	129.5	6.7	94.3	36	21.4	41.1
2023	68.5	43.9	50.1	32.2	37.8	65.6	45.1	42.9	18.5	90.6	54.4	70.1
